,Closed PnL,Size USD,Fee,Leverage,value
Closed PnL,1.0,-0.007064735390644509,0.036195809908776945,-0.022994170100061436,0.11571320231818737
Size USD,-0.007064735390644509,1.0,0.10639925453311459,0.016694743514013143,-0.26254850025508975
Fee,0.036195809908776945,0.10639925453311459,1.0,0.013894571601340756,-0.06014275808739585
Leverage,-0.022994170100061436,0.016694743514013143,0.013894571601340756,1.0,-0.028991907187050404
value,0.11571320231818737,-0.26254850025508975,-0.06014275808739585,-0.028991907187050404,1.0
